Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-07 00:00:00-05:00,201.94657168161345,205.20441515726563,201.47838440021044,203.89736938476562,2067500,0.0,0.0
2023-02-08 00:00:00-05:00,203.24384955336947,204.4240886870004,201.4393706469451,202.0441131591797,1805100,0.0,0.0
2023-02-09 00:00:00-05:00,203.01951044778085,203.50720985933827,197.4694887629128,197.8206329345703,2989900,0.0,0.0
2023-02-10 00:00:00-05:00,197.24515106093926,201.02970325462792,196.7964610539268,200.4444580078125,2599900,0.0,0.0
2023-02-13 00:00:00-05:00,199.87872110261162,203.79982846151407,199.4983161644393,200.98092651367188,4095400,0.0,0.0
2023-02-14 00:00:00-05:00,200.79561714001287,200.86388732329854,196.6404232049256,199.01063537597656,2174600,0.0,0.0
2023-02-15 00:00:00-05:00,196.65015253338868,198.12299936238978,194.51402678145553,198.11325073242188,2880000,0.0,0.0
2023-02-16 00:00:00-05:00,194.76764397424668,198.04498485282323,194.54330639602142,195.5869903564453,3375000,0.0,0.0
2023-02-17 00:00:00-05:00,193.92880172011343,196.68916730016554,193.67518849998635,196.63064575195312,7063800,0.0,0.0
2023-02-21 00:00:00-05:00,194.50429708023947,195.24559488186551,188.91525069996715,188.98353576660156,4462300,0.0,0.0
2023-02-22 00:00:00-05:00,188.89575276275468,189.70533562812057,185.40382294771138,186.67184448242188,5816000,0.0,0.0
2023-02-23 00:00:00-05:00,187.8910746230303,188.89573419109828,186.0475714960177,188.56410217285156,3125400,0.0,0.0
2023-02-24 00:00:00-05:00,186.59381621498994,189.80287211037916,185.63792944155153,189.2469024658203,3371400,0.0,0.0
2023-02-27 00:00:00-05:00,210.07463587530322,210.92896728837442,205.98961704207474,208.3463592529297,12140400,1.3,0.0
2023-02-28 00:00:00-05:00,206.73592463392234,207.59024110198683,202.88657085669766,203.54449462890625,6091200,0.0,0.0
2023-03-01 00:00:00-05:00,202.3759312099262,206.36276124161452,202.26791298318483,204.24169921875,2775200,0.0,0.0
2023-03-02 00:00:00-05:00,202.92582437633564,208.3365347902503,202.54285341099256,207.5509490966797,2812900,0.0,0.0
2023-03-03 00:00:00-05:00,208.18925792467442,209.04358941495465,204.25152950483204,205.58702087402344,3665800,0.0,0.0
2023-03-06 00:00:00-05:00,205.78339890157986,207.01087194807602,204.094394790897,205.06655883789062,2300400,0.0,0.0
2023-03-07 00:00:00-05:00,203.69177927921646,203.95691765173967,200.9618804326494,201.6983642578125,3898000,0.0,0.0
